koi_disposition,ra,dec,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_period,koi_duration,koi_depth,koi_prad,koi_insol,koi_teq,ra,dec,source
CONFIRMED,287.09399,39.060719,5170.0,4.574,0.807,15.119,4.783002698,2.335,1008.7,2.5,145.48,886.0,287.09399,39.060719,Kepler
CONFIRMED,289.31543,39.153278,4905.0,4.544,0.761,15.398,20.50588921,4.0595,2105.5,3.41,17.06,518.0,289.31543,39.153278,Kepler
CONFIRMED,286.07913,39.27832,3950.0,4.754,0.493,15.954,3.340218842,1.9104,1632.6,2.03,43.73,656.0,286.07913,39.27832,Kepler
FALSE POSITIVE,295.37805,40.493401,5926.0,4.506,0.939,15.555,2.507089906,2.0067,1339.2,30.26,730.47,1326.0,295.37805,40.493401,Kepler
CONFIRMED,290.46176,40.562462,5775.0,4.405,1.053,15.386,18.64932728,4.4056,893.6,3.12,57.13,701.0,290.46176,40.562462,Kepler
CONFIRMED,297.02826,48.208611,5847.0,4.191,1.402,12.487,4.90144976,4.1654,140.7,1.7,598.74,1262.0,297.02826,48.208611,Kepler
CONFIRMED,290.46176,40.562462,5775.0,4.405,1.053,15.386,9.75192101,4.793,418.0,2.76,135.66,870.0,290.46176,40.562462,Kepler
CONFIRMED,290.46176,40.562462,5775.0,4.405,1.053,15.386,38.5576546,5.794,993.0,4.02,21.71,550.0,290.46176,40.562462,Kepler
CONFIRMED,290.58173,40.5774,5150.0,4.572,0.793,15.224,3.525632539,2.59959,22335.0,11.58,213.12,975.0,290.58173,40.5774,Kepler
CANDIDATE,285.92001,39.624828,5509.0,4.482,0.871,15.684,34.84398644,2.9315,4523.6,7.61,16.1,511.0,285.92001,39.624828,Kepler
CONFIRMED,294.4899,39.771439,5973.0,4.439,1.085,15.67,7.748094239,3.5957,2472.1,5.52,204.39,964.0,294.4899,39.771439,Kepler
CONFIRMED,283.86639,39.898079,3747.0,4.728,0.524,15.414,23.96793669,3.827,1182.3,1.8,2.77,329.0,283.86639,39.898079,Kepler
CONFIRMED,283.86639,39.898079,3747.0,4.728,0.524,15.414,8.29561738,1.3421,824.3,1.82,11.39,469.0,283.86639,39.898079,Kepler
CONFIRMED,288.81201,40.033401,3692.0,4.753,0.517,15.877,8.11437482,2.2736,1558.0,2.1,10.55,460.0,288.81201,40.033401,Kepler
FALSE POSITIVE,294.14789,40.055538,5575.0,4.521,0.932,15.472,38.036729482,4.34617,82872.0,27.5,14.81,500.0,294.14789,40.055538,Kepler
CANDIDATE,295.11371,40.071171,6463.0,4.5,0.826,15.27,4.64090031,35.512,2450.6,30.09,421.08,1155.0,295.11371,40.071171,Kepler
FALSE POSITIVE,291.06152,50.265129,5514.0,4.569,0.826,13.496,3.747838198,5.0642,616.0,13.65,266.76,1031.0,291.06152,50.265129,Kepler
CONFIRMED,297.02826,48.208611,5847.0,4.191,1.402,12.487,14.74914825,6.0995,430.2,2.89,137.91,874.0,297.02826,48.208611,Kepler
CONFIRMED,294.77686,40.15374,5601.0,4.41,0.999,15.54,21.81295996,4.3791,1175.4,3.38,39.33,639.0,294.77686,40.15374,Kepler
FALSE POSITIVE,283.53845,40.217999,5690.0,4.588,0.776,15.805,7.91936937,3.3148,15148.0,10.34,104.0,814.0,283.53845,40.217999,Kepler
CANDIDATE,296.00699,40.295429,6228.0,4.428,0.99,15.202,1.028436523,1.8606,8098.0,72.77,3400.48,1947.0,296.00699,40.295429,Kepler
CONFIRMED,283.25354,40.358189,4986.0,4.496,0.833,16.422,15.37562369,3.3169,15337.0,11.01,30.54,600.0,283.25354,40.358189,Kepler
CONFIRMED,283.22141,40.421829,4861.0,4.574,0.732,15.289,8.10363271,3.161,887.9,2.11,52.82,687.0,283.22141,40.421829,Kepler
CONFIRMED,283.22141,40.421829,4861.0,4.574,0.732,15.289,4.71510843,2.506,417.5,1.46,108.84,823.0,283.22141,40.421829,Kepler
CONFIRMED,291.14951,40.420521,5776.0,4.554,0.849,15.09,6.365839713,2.9721,780.7,2.44,165.33,914.0,291.14951,40.420521,Kepler
FALSE POSITIVE,294.22397,40.417858,6108.0,4.471,0.997,15.546,5.97581754,3.065,962.4,3.86,284.25,1047.0,294.22397,40.417858,Kepler
FALSE POSITIVE,298.96112,40.862808,5764.0,4.548,0.863,15.021,2.446737317,4.7211,1177.9,26.25,597.19,1261.0,298.96112,40.862808,Kepler
CONFIRMED,299.3161,40.82238,5035.0,4.519,0.791,15.028,3.04033046,1.8411,10859.0,8.99,257.29,1021.0,299.3161,40.82238,Kepler
CONFIRMED,292.23676,41.08588,5251.0,4.581,0.817,15.855,15.33528675,3.897,3081.4,5.0,32.67,610.0,292.23676,41.08588,Kepler
CONFIRMED,297.02826,48.208611,5847.0,4.191,1.402,12.487,7.95825328,4.377,50.0,1.06,314.15,1074.0,297.02826,48.208611,Kepler
CONFIRMED,292.23676,41.08588,5251.0,4.581,0.817,15.855,31.33046135,5.176,5073.8,6.5,12.61,481.0,292.23676,41.08588,Kepler
FALSE POSITIVE,294.05676,40.549679,5810.0,4.526,0.898,15.016,3.9043425,3.831,16228.0,12.28,351.05,1104.0,294.05676,40.549679,Kepler
FALSE POSITIVE,294.74396,40.53392,5670.0,4.523,0.821,15.365,9.286358079,3.49949,44791.0,17.61,95.03,796.0,294.74396,40.53392,Kepler
FALSE POSITIVE,295.50439,40.505489,6046.0,4.539,0.869,15.446,3.951405455,2.1862,2453.9,31.44,388.71,1133.0,295.50439,40.505489,Kepler
CONFIRMED,287.89713,40.637821,5739.0,4.191,1.384,15.084,23.65369415,8.2183,3341.8,7.89,67.65,731.0,287.89713,40.637821,Kepler
CONFIRMED,287.89713,40.637821,5739.0,4.191,1.384,15.084,13.23352214,6.7372,504.6,3.06,146.67,888.0,287.89713,40.637821,Kepler
CONFIRMED,287.89713,40.637821,5739.0,4.191,1.384,15.084,6.15560285,4.9843,285.0,2.32,406.94,1146.0,287.89713,40.637821,Kepler
CONFIRMED,287.89713,40.637821,5739.0,4.191,1.384,15.084,2.090811305,3.388,115.9,1.62,1718.04,1642.0,287.89713,40.637821,Kepler
CONFIRMED,297.02826,48.208611,5847.0,4.191,1.402,12.487,3.180027898,3.5797,120.3,1.53,1066.86,1458.0,297.02826,48.208611,Kepler
CONFIRMED,287.89713,40.637821,5739.0,4.191,1.384,15.084,50.4467417,7.159,370.3,2.67,24.64,568.0,287.89713,40.637821,Kepler
CONFIRMED,294.20215,40.66341,4959.0,4.603,0.756,15.208,11.76307164,2.9076,1037.3,2.35,33.99,616.0,294.20215,40.66341,Kepler
CONFIRMED,294.20215,40.66341,4959.0,4.603,0.756,15.208,56.2279271,3.57,862.7,2.37,4.22,366.0,294.20215,40.66341,Kepler
FALSE POSITIVE,299.64285,40.691238,4794.0,4.58,0.701,15.836,2.384052875,3.0918,1268.1,17.06,244.87,1010.0,299.64285,40.691238,Kepler
CONFIRMED,291.15878,40.750271,4768.0,4.536,0.779,15.66,7.953547,2.6312,875.4,2.25,55.37,696.0,291.15878,40.750271,Kepler
CONFIRMED,291.15878,40.750271,4768.0,4.536,0.779,15.66,4.14451656,2.3421,391.8,1.48,132.08,864.0,291.15878,40.750271,Kepler
FALSE POSITIVE,292.21436,40.759762,6072.0,4.47,0.988,15.311,4.859386384,2.2757,6044.3,38.33,364.23,1114.0,292.21436,40.759762,Kepler
CONFIRMED,293.87811,41.66177,5386.0,4.553,0.793,15.305,10.526294577,2.5211,9768.0,8.24,61.16,713.0,293.87811,41.66177,Kepler
CONFIRMED,299.18686,41.74268,5815.0,4.54,0.877,15.287,4.583520948,2.7055,3812.1,5.39,274.98,1038.0,299.18686,41.74268,Kepler
CONFIRMED,283.31638,41.83712,5653.0,4.472,0.949,15.257,3.76181843,3.5176,510.6,2.66,372.62,1121.0,283.31638,41.83712,Kepler
CONFIRMED,286.5657,41.808399,5015.0,4.499,0.826,15.376,8.20396958,2.9667,1024.4,3.01,71.5,742.0,286.5657,41.808399,Kepler
CONFIRMED,286.5657,41.808399,5015.0,4.499,0.826,15.376,14.49645186,4.016,647.5,3.01,33.48,613.0,286.5657,41.808399,Kepler
CONFIRMED,292.23676,41.08588,5251.0,4.581,0.817,15.855,6.54626149,2.75,655.9,2.19,101.78,810.0,292.23676,41.08588,Kepler
CONFIRMED,292.91312,41.060921,4702.0,4.592,0.686,15.389,12.71809866,3.0957,1149.4,2.31,23.6,562.0,292.91312,41.060921,Kepler
CONFIRMED,292.91312,41.060921,4702.0,4.592,0.686,15.389,36.06588163,4.3246,1563.8,2.64,5.88,397.0,292.91312,41.060921,Kepler
CONFIRMED,293.49661,41.137589,6073.0,4.392,1.135,15.27,4.190425659,2.8589,2877.4,6.21,547.9,1234.0,293.49661,41.137589,Kepler
CONFIRMED,283.86441,41.346458,5727.0,4.463,0.978,15.581,3.709870784,3.0694,2020.3,4.35,415.1,1151.0,283.86441,41.346458,Kepler
CONFIRMED,288.51001,41.301769,5878.0,4.444,0.987,15.447,16.3297527,6.271,1187.5,3.75,66.08,727.0,288.51001,41.301769,Kepler
CONFIRMED,296.88821,41.396091,5862.0,4.584,0.785,15.482,27.807566216,4.21587,25391.0,13.84,22.24,554.0,296.88821,41.396091,Kepler
CONFIRMED,287.1543,41.565788,5510.0,4.222,1.238,15.201,80.8723469,11.195,3604.6,7.59,9.88,452.0,287.1543,41.565788,Kepler
FALSE POSITIVE,284.86929,41.679192,4968.0,4.575,0.704,15.999,3.166465862,2.9381,4357.2,26.82,196.31,954.0,284.86929,41.679192,Kepler
CONFIRMED,287.36279,38.649601,5718.0,4.181,1.317,12.377,24.99324319,5.9409,269.6,2.29,60.88,712.0,287.36279,38.649601,Kepler
CONFIRMED,288.9942,41.633282,5501.0,4.462,0.918,15.018,10.35533116,3.1775,750.6,2.47,86.22,777.0,288.9942,41.633282,Kepler
CONFIRMED,292.10519,42.380322,5239.0,4.523,0.826,15.219,16.08518937,3.984,1442.4,3.68,33.43,613.0,292.10519,42.380322,Kepler
CANDIDATE,293.00797,42.307201,4245.0,4.627,0.657,15.172,235.9986399,8.2284,20715.0,10.59,0.29,188.0,293.00797,42.307201,Kepler
CONFIRMED,291.63898,42.436321,5103.0,4.562,0.787,15.599,7.49018305,2.7297,1123.6,2.56,76.06,753.0,291.63898,42.436321,Kepler
CONFIRMED,291.63898,42.436321,5103.0,4.562,0.787,15.599,36.2761238,4.7865,1572.6,3.03,9.29,445.0,291.63898,42.436321,Kepler
CONFIRMED,291.63898,42.436321,5103.0,4.562,0.787,15.599,17.46087931,2.2641,812.4,2.32,24.6,568.0,291.63898,42.436321,Kepler
CONFIRMED,289.50848,41.812119,3593.0,4.757,0.491,15.849,56.0560754,4.685,1626.0,1.94,0.69,233.0,289.50848,41.812119,Kepler
CONFIRMED,291.76041,41.944069,5522.0,4.586,0.747,15.196,41.408316686,5.0264,22839.0,11.38,9.93,453.0,291.76041,41.944069,Kepler
CANDIDATE,293.17929,41.969238,6122.0,4.487,0.964,15.344,39.74893077,7.3051,15179.0,14.21,21.87,552.0,293.17929,41.969238,Kepler
CONFIRMED,285.11047,42.033958,5237.0,4.572,0.826,15.086,5.715425977,2.5242,908.1,2.47,123.03,850.0,285.11047,42.033958,Kepler
