kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,radius,density,esc_vel,temperature,ESI,ESI_n_components
6939670,K06792.01,FALSE POSITIVE,0.0,4.238855579,135.201464,1.031,5.2235,68002.0,38.01,1044,280.82,374.8,1,5655,4.482,0.804,288.96494,42.469391,14.858,0.18391485363006663,,,0.009298735252212142,0.041354268617100905,2
6947623,K06793.01,CANDIDATE,0.972,3.62657392,133.57658,0.306,1.791,98.5,0.79,1014,250.0,10.7,1,5416,4.579,0.8,291.49585,42.47813,14.835,0.9313401202909187,,,0.010559130697920105,0.09916724284948353,2
6949550,K06795.01,FALSE POSITIVE,0.0,7.841066931,136.5883392,0.579,5.47901,342090.0,56.33,876,139.18,3314.7,1,5973,4.562,0.829,292.11746,42.45628,15.144,0.1476758198884772,,,0.019730578882050973,0.053978971954652406,2
7812893,K06919.01,CANDIDATE,0.409,8.7998722,136.37744,0.344,1.153,270.3,1.09,577,26.18,7.4,1,4298,4.603,0.675,288.37213,43.591221,15.86,0.9752225040992043,,,0.10342072497852485,0.3175818294381971,2
7816680,K06920.01,FALSE POSITIVE,0.0,4.292599454,131.7702811,0.89,4.73293,140030.0,64.04,1319,715.83,1329.6,1,6467,4.377,1.174,289.92133,43.508221,15.573,0.13742767335013456,,,0.003262788066022823,0.021175395451988654,2
7816935,K06921.01,CANDIDATE,0.954,6.87778029,133.04176,0.08,3.199,124.0,1.19,1052,289.51,10.1,1,6274,4.434,1.062,290.00784,43.502129,15.099,0.9495852325278497,,,0.008993167506077029,0.09241092498952738,2
7838639,K06922.01,FALSE POSITIVE,0.0,2.113197701,132.3310213,0.909,3.46341,57316.0,50.13,1825,2624.42,1048.1,1,6215,4.138,1.463,296.91443,43.519451,13.774,0.15763109617551552,,,0.0007083016670498826,0.010566473782677834,2
7846730,K06923.01,FALSE POSITIVE,0.0,11.02822674,136.96732,0.351,8.275,278040.0,75.47,1028,264.14,4680.2,1,6271,4.199,1.387,298.85602,43.536968,12.956,0.12531330267655408,,,0.009947400306918151,0.03530639581585299,2
7847927,K06924.01,FALSE POSITIVE,0.0,70.37626987,151.228445,0.944,6.4205,116050.0,40.43,373,4.59,759.7,1,5458,4.603,0.755,299.13303,43.527111,15.108,0.17771234005323874,,,0.46390955065584594,0.28712793632821043,2
8526387,K07051.01,FALSE POSITIVE,0.089,0.772803664,131.70354,0.199,1.368,290.2,1.11,1365,826.03,8.5,2,4535,4.607,0.668,301.35458,44.524948,15.856,0.9699427429156094,,,0.002787372009405966,0.05199606958539671,2
